Season_ID,Seasons_url,Competition_name
2024-2025,https://www.football-data.co.uk/mmz4281/2425/E0.csv,EPL
2023-2024,https://www.football-data.co.uk/mmz4281/2324/E0.csv,EPL
2022-2023,https://www.football-data.co.uk/mmz4281/2223/E0.csv,EPL
2021-2022,https://www.football-data.co.uk/mmz4281/2122/E0.csv,EPL
2020-2021,https://www.football-data.co.uk/mmz4281/2021/E0.csv,EPL
2019-2020,https://www.football-data.co.uk/mmz4281/1920/E0.csv,EPL
2018-2019,https://www.football-data.co.uk/mmz4281/1819/E0.csv,EPL
2017-2018,https://www.football-data.co.uk/mmz4281/1718/E0.csv,EPL
2016-2017,https://www.football-data.co.uk/mmz4281/1617/E0.csv,EPL
2015-2016,https://www.football-data.co.uk/mmz4281/1516/E0.csv,EPL
2014-2015,https://www.football-data.co.uk/mmz4281/1415/E0.csv,EPL
2013-2014,https://www.football-data.co.uk/mmz4281/1314/E0.csv,EPL
2012-2013,https://www.football-data.co.uk/mmz4281/1213/E0.csv,EPL
2011-2012,https://www.football-data.co.uk/mmz4281/1112/E0.csv,EPL
2010-2011,https://www.football-data.co.uk/mmz4281/1011/E0.csv,EPL
